country,summer_participations,summer_gold,summer_silver,summer_bronze,summer_total,winter_participations,winter_gold,winter_silver,winter_bronze,winter_total,total_participation,total_gold,total_silver,total_bronze,total_total 
Lebanon,18,0,2,2,4,18,0,0,0,0,36,0,2,2,4
Liechtenstein,18,0,0,0,0,20,2,2,6,10,38,2,2,6,10
Lithuania,10,6,7,13,26,10,0,0,0,0,20,6,7,13,26
Luxembourg,25,2,1,0,3,10,0,2,0,2,35,2,3,0,5
Malaysia,14,0,8,5,13,2,0,0,0,0,16,0,8,5,13
Mauritius,10,0,0,1,1,0,0,0,0,0,10,0,0,1,1
Mexico,24,13,24,35,72,10,0,0,0,0,34,13,24,35,72
Moldova,7,0,2,4,6,8,0,0,0,0,15,0,2,4,6
Mongolia,14,2,11,17,30,15,0,0,0,0,29,2,11,17,30
Montenegro,4,0,1,0,1,4,0,0,0,0,8,0,1,0,1
Morocco,15,7,5,12,24,8,0,0,0,0,23,7,5,12,24
Mozambique,11,1,0,1,2,0,0,0,0,0,11,1,0,1,2
Namibia,8,0,5,0,5,0,0,0,0,0,8,0,5,0,5
Netherlands,27,95,105,122,322,22,53,49,45,147,49,148,154,167,469
Netherlands Antilles,13,0,1,0,1,2,0,0,0,0,15,0,1,0,1
New Zealand,24,53,33,51,137,17,2,2,2,6,41,55,35,53,143
Niger,13,0,1,1,2,0,0,0,0,0,13,0,1,1,2
Nigeria,17,3,11,13,27,2,0,0,0,0,19,3,11,13,27
North Macedonia,7,0,1,1,2,7,0,0,0,0,14,0,1,1,2
Norway,27,62,51,50,163,24,148,133,124,405,51,210,184,174,568
Pakistan,18,3,3,4,10,4,0,0,0,0,22,3,3,4,10
Panama,18,1,0,2,3,0,0,0,0,0,18,1,0,2,3
Paraguay,13,0,1,0,1,1,0,0,0,0,14,0,1,0,1
Peru,19,1,3,0,4,3,0,0,0,0,22,1,3,0,4
Philippines,22,1,5,8,14,6,0,0,0,0,28,1,5,8,14
Poland,22,72,89,137,298,24,7,7,9,23,46,79,96,146,321
Portugal,25,5,9,14,28,9,0,0,0,0,34,5,9,14,28
Puerto Rico,19,2,2,6,10,8,0,0,0,0,27,2,2,6,10
Qatar,10,2,2,4,8,0,0,0,0,0,10,2,2,4,8
Romania,22,90,97,121,308,22,0,0,1,1,44,90,97,122,309
Russia,6,148,126,151,425,6,47,39,35,121,12,195,165,186,546
Russian Empire,3,1,4,3,8,0,0,0,0,0,3,1,4,3,8
Soviet Union,9,395,319,296,1010,9,78,57,59,194,18,473,376,355,1204
Unified Team,1,45,38,29,112,1,9,6,8,23,2,54,44,37,135
Olympic Athletes from Russia,0,0,0,0,0,1,2,6,9,17,1,2,6,9,17
ROC ,1,20,28,23,71,1,6,12,14,32,2,26,40,37,103
San Marino,15,0,1,2,3,11,0,0,0,0,26,0,1,2,3
Saudi Arabia,12,0,2,2,4,1,0,0,0,0,13,0,2,2,4
Samoa,10,0,1,0,1,0,0,0,0,0,10,0,1,0,1
Senegal,15,0,1,0,1,5,0,0,0,0,20,0,1,0,1
Serbia,5,6,7,11,24,4,0,0,0,0,9,6,7,11,24
Serbia and Montenegro,3,2,4,3,9,3,0,0,0,0,6,2,4,3,9
Singapore,17,1,2,2,5,1,0,0,0,0,18,1,2,2,5
Slovakia,7,10,14,8,32,8,4,4,2,10,15,14,18,10,42
Slovenia,8,8,9,11,28,9,4,8,12,24,17,12,17,23,52
South Africa,20,27,33,29,89,7,0,0,0,0,27,27,33,29,89
Spain,24,48,72,49,169,21,1,1,3,5,45,49,73,52,174
Sri Lanka,18,0,2,0,2,0,0,0,0,0,18,0,2,0,2
